| # | Elapsed (Countdown) | Time (UTC) | UP Shares on Book (Bought) & Price | DOWN Shares on Book (Bought) & Price | Total Cost | Execution Gap | How Soon It Dried Up | Guaranteed Profit |
| 115 | T+168s (T-132s) | 22:07:48 | 11.8 sh (Bt 11.8) @ $0.24 | 10.0 sh (Bt 10.0) @ $0.74 | $0.980 (98¢) | 0ms (Instant) | Dried up in 0ms | +$0.020 (+2.0%) |
| 116 | T+168s (T-132s) | 22:07:48 | 11.8 sh (Bt 11.8) @ $0.24 | 2.1 sh (Bt 2.1) @ $0.75 | $0.990 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.010 (+1.0%) |
| 117 | T+183s (T-117s) | 22:08:03 | 30.3 sh (Bt 1.2) @ $0.10 | 25.6 sh (Bt 1.1) @ $0.89 | $0.990 (99¢) | 0ms (Instant) | Dried up in 10s | +$0.010 (+1.0%) |
| 118 | T+183s (T-117s) | 22:08:03 | 59.3 sh (Bt 10.0) @ $0.11 | 25.6 sh (Bt 19.0) @ $0.88 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 10s | +$0.010 (+1.0%) |
| 119 | T+183s (T-117s) | 22:08:03 | 30.3 sh (Bt 1.2) @ $0.10 | 25.6 sh (Bt 19.0) @ $0.88 | $0.980 (98¢) | 1.0s (Instant) | Dried up in 10s | +$0.020 (+2.0%) |
| 120 | T+201s (T-099s) | 22:08:21 | 66.0 sh (Bt 22.0) @ $0.05 | 20.0 sh (Bt 20.0) @ $0.95 | $0.995 (100¢) | 0ms (Instant) | Dried up in 3s | +$0.005 (+0.5%) |
| 121 | T+201s (T-099s) | 22:08:21 | 66.0 sh (Bt 22.0) @ $0.04 | 20.0 sh (Bt 20.0) @ $0.95 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 3s | +$0.010 (+1.0%) |
| 122 | T+204s (T-096s) | 22:08:24 | 41.2 sh (Bt 10.2) @ $0.02 | 7.0 sh (Bt 2.0) @ $0.97 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 19s | +$0.010 (+1.0%) |
| 123 | T+210s (T-090s) | 22:08:30 | 200.0 sh (Bt 200.0) @ $0.01 | 6.1 sh (Bt 5.1) @ $0.98 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 19s | +$0.010 (+1.0%) |
| 124 | T+004s (T-296s) | 22:10:04 | 16.0 sh (Bt 8.0) @ $0.61 | 30.0 sh (Bt 30.0) @ $0.37 | $0.980 (98¢) | 0ms (Instant) | Dried up in 14s | +$0.020 (+2.0%) |
| 125 | T+006s (T-294s) | 22:10:06 | 20.0 sh (Bt 7.2) @ $0.69 | 36.9 sh (Bt 7.0) @ $0.30 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 1s | +$0.010 (+1.0%) |
| 126 | T+006s (T-294s) | 22:10:06 | 17.9 sh (Bt 7.5) @ $0.67 | 36.9 sh (Bt 29.9) @ $0.31 | $0.980 (98¢) | 0ms (Instant) | Dried up in 6s | +$0.020 (+2.0%) |
| 127 | T+006s (T-294s) | 22:10:06 | 17.9 sh (Bt 7.5) @ $0.67 | 36.9 sh (Bt 7.0) @ $0.30 | $0.970 (97¢) | 1.0s (Instant) | Dried up in 6s | +$0.030 (+3.1%) |
| 128 | T+006s (T-294s) | 22:10:06 | 61.0 sh (Bt 61.0) @ $0.64 | 36.9 sh (Bt 29.9) @ $0.31 | $0.953 (95¢) | 0ms (Instant) | Dried up in 13s | +$0.047 (+4.9%) |
| 129 | T+006s (T-294s) | 22:10:06 | 32.2 sh (Bt 32.2) @ $0.62 | 36.9 sh (Bt 29.9) @ $0.31 | $0.931 (93¢) | 0ms (Instant) | Dried up in 16s | +$0.069 (+7.4%) |
| 130 | T+006s (T-294s) | 22:10:06 | 61.0 sh (Bt 61.0) @ $0.64 | 33.8 sh (Bt 30.9) @ $0.34 | $0.983 (98¢) | 0ms (Instant) | Dried up in 13s | +$0.017 (+1.7%) |
| 131 | T+006s (T-294s) | 22:10:06 | 61.0 sh (Bt 61.0) @ $0.64 | 36.9 sh (Bt 7.0) @ $0.30 | $0.943 (94¢) | 1.0s (Instant) | Dried up in 13s | +$0.057 (+6.0%) |
| 132 | T+006s (T-294s) | 22:10:06 | 32.2 sh (Bt 32.2) @ $0.62 | 33.8 sh (Bt 30.9) @ $0.34 | $0.961 (96¢) | 0ms (Instant) | Dried up in 16s | +$0.039 (+4.1%) |
| 133 | T+006s (T-294s) | 22:10:06 | 32.2 sh (Bt 32.2) @ $0.62 | 36.9 sh (Bt 7.0) @ $0.30 | $0.921 (92¢) | 1.0s (Instant) | Dried up in 16s | +$0.079 (+8.6%) |
| 134 | T+007s (T-293s) | 22:10:07 | 20.0 sh (Bt 4.8) @ $0.69 | 36.9 sh (Bt 7.0) @ $0.30 | $0.990 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.010 (+1.0%) |
| 135 | T+018s (T-282s) | 22:10:18 | 2.4 sh (Bt 2.4) @ $0.62 | 6.3 sh (Bt 6.3) @ $0.36 | $0.980 (98¢) | 0ms (Instant) | Dried up in 16s | +$0.020 (+2.0%) |
| 136 | T+022s (T-278s) | 22:10:22 | 16.0 sh (Bt 5.0) @ $0.63 | 2.8 sh (Bt 2.8) @ $0.36 | $0.990 (99¢) | 0ms (Instant) | Dried up in 18s | +$0.010 (+1.0%) |
| 137 | T+063s (T-237s) | 22:11:03 | 6.6 sh (Bt 4.1) @ $0.73 | 20.0 sh (Bt 12.5) @ $0.26 | $0.986 (99¢) | 1.0s (Instant) | Dried up in 9s | +$0.014 (+1.4%) |
| 138 | T+063s (T-237s) | 22:11:03 | 6.6 sh (Bt 4.1) @ $0.73 | 20.0 sh (Bt 2.5) @ $0.26 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 9s | +$0.010 (+1.0%) |
| 139 | T+064s (T-236s) | 22:11:04 | 6.6 sh (Bt 2.5) @ $0.73 | 20.0 sh (Bt 12.5) @ $0.26 | $0.986 (99¢) | 0ms (Instant) | Dried up in 8s | +$0.014 (+1.4%) |
| 140 | T+064s (T-236s) | 22:11:04 | 6.6 sh (Bt 2.5) @ $0.73 | 20.0 sh (Bt 2.5) @ $0.26 | $0.990 (99¢) | 0ms (Instant) | Dried up in 8s | +$0.010 (+1.0%) |
| 141 | T+123s (T-177s) | 22:12:03 | 12.0 sh (Bt 12.0) @ $0.61 | 15.2 sh (Bt 15.2) @ $0.33 | $0.940 (94¢) | 0ms (Instant) | Dried up in 0ms | +$0.060 (+6.4%) |
| 142 | T+126s (T-174s) | 22:12:06 | 50.0 sh (Bt 5.0) @ $0.52 | 1.6 sh (Bt 1.6) @ $0.47 | $0.990 (99¢) | 0ms (Instant) | Dried up in 12s | +$0.010 (+1.0%) |
| 143 | T+129s (T-171s) | 22:12:09 | 7.0 sh (Bt 7.0) @ $0.46 | 162.2 sh (Bt 8.0) @ $0.50 | $0.960 (96¢) | 0ms (Instant) | Dried up in 16s | +$0.040 (+4.2%) |
| 144 | T+132s (T-168s) | 22:12:12 | 25.4 sh (Bt 5.0) @ $0.34 | 8.0 sh (Bt 8.0) @ $0.64 | $0.980 (98¢) | 1.0s (Instant) | Dried up in 1s | +$0.020 (+2.0%) |
| 145 | T+132s (T-168s) | 22:12:12 | 10.0 sh (Bt 10.0) @ $0.35 | 8.0 sh (Bt 8.0) @ $0.64 | $0.995 (100¢) | 1.0s (Instant) | Dried up in 1s | +$0.005 (+0.5%) |
| 146 | T+132s (T-168s) | 22:12:12 | 5.0 sh (Bt 5.0) @ $0.32 | 8.0 sh (Bt 8.0) @ $0.64 | $0.960 (96¢) | 1.0s (Instant) | Dried up in 1s | +$0.040 (+4.2%) |
| 147 | T+132s (T-168s) | 22:12:12 | 25.4 sh (Bt 20.4) @ $0.33 | 8.0 sh (Bt 8.0) @ $0.64 | $0.974 (97¢) | 1.0s (Instant) | Dried up in 1s | +$0.026 (+2.7%) |
| 148 | T+132s (T-168s) | 22:12:12 | 14.2 sh (Bt 9.6) @ $0.39 | 5.0 sh (Bt 5.0) @ $0.60 | $0.990 (99¢) | 0ms (Instant) | Dried up in 3s | +$0.010 (+1.0%) |
| 149 | T+132s (T-168s) | 22:12:12 | 14.2 sh (Bt 9.6) @ $0.39 | 6.0 sh (Bt 6.0) @ $0.55 | $0.940 (94¢) | 0ms (Instant) | Dried up in 4s | +$0.060 (+6.4%) |
| 150 | T+132s (T-168s) | 22:12:12 | 15.4 sh (Bt 5.0) @ $0.38 | 5.0 sh (Bt 5.0) @ $0.60 | $0.980 (98¢) | 0ms (Instant) | Dried up in 3s | +$0.020 (+2.0%) |
| 151 | T+132s (T-168s) | 22:12:12 | 25.4 sh (Bt 5.0) @ $0.34 | 5.0 sh (Bt 5.0) @ $0.60 | $0.940 (94¢) | 1.0s (Instant) | Dried up in 1s | +$0.060 (+6.4%) |
| 152 | T+132s (T-168s) | 22:12:12 | 10.0 sh (Bt 10.0) @ $0.35 | 5.0 sh (Bt 5.0) @ $0.60 | $0.955 (96¢) | 1.0s (Instant) | Dried up in 1s | +$0.045 (+4.7%) |
| 153 | T+132s (T-168s) | 22:12:12 | 5.0 sh (Bt 5.0) @ $0.32 | 5.0 sh (Bt 5.0) @ $0.60 | $0.920 (92¢) | 1.0s (Instant) | Dried up in 1s | +$0.080 (+8.7%) |
| 154 | T+132s (T-168s) | 22:12:12 | 25.4 sh (Bt 20.4) @ $0.33 | 5.0 sh (Bt 5.0) @ $0.60 | $0.934 (93¢) | 1.0s (Instant) | Dried up in 1s | +$0.066 (+7.1%) |
| 155 | T+132s (T-168s) | 22:12:12 | 15.4 sh (Bt 5.0) @ $0.38 | 6.0 sh (Bt 6.0) @ $0.55 | $0.930 (93¢) | 0ms (Instant) | Dried up in 4s | +$0.070 (+7.5%) |
| 156 | T+132s (T-168s) | 22:12:12 | 25.4 sh (Bt 5.0) @ $0.34 | 1.7 sh (Bt 1.7) @ $0.62 | $0.960 (96¢) | 1.0s (Instant) | Dried up in 1s | +$0.040 (+4.2%) |
| 157 | T+132s (T-168s) | 22:12:12 | 10.0 sh (Bt 10.0) @ $0.35 | 1.7 sh (Bt 1.7) @ $0.62 | $0.975 (98¢) | 1.0s (Instant) | Dried up in 1s | +$0.025 (+2.6%) |
| 158 | T+132s (T-168s) | 22:12:12 | 5.0 sh (Bt 5.0) @ $0.32 | 1.7 sh (Bt 1.7) @ $0.62 | $0.940 (94¢) | 1.0s (Instant) | Dried up in 1s | +$0.060 (+6.4%) |
| 159 | T+132s (T-168s) | 22:12:12 | 25.4 sh (Bt 20.4) @ $0.33 | 1.7 sh (Bt 1.7) @ $0.62 | $0.954 (95¢) | 1.0s (Instant) | Dried up in 1s | +$0.046 (+4.8%) |
| 160 | T+132s (T-168s) | 22:12:12 | 25.4 sh (Bt 5.0) @ $0.34 | 6.0 sh (Bt 6.0) @ $0.55 | $0.890 (89¢) | 1.0s (Instant) | Dried up in 4s | +$0.110 (+12.4%) |
| 161 | T+132s (T-168s) | 22:12:12 | 10.0 sh (Bt 10.0) @ $0.35 | 6.0 sh (Bt 6.0) @ $0.55 | $0.905 (90¢) | 1.0s (Instant) | Dried up in 4s | +$0.095 (+10.5%) |
| 162 | T+132s (T-168s) | 22:12:12 | 5.0 sh (Bt 5.0) @ $0.32 | 6.0 sh (Bt 6.0) @ $0.55 | $0.870 (87¢) | 1.0s (Instant) | Dried up in 4s | +$0.130 (+14.9%) |
| 163 | T+132s (T-168s) | 22:12:12 | 25.4 sh (Bt 20.4) @ $0.33 | 6.0 sh (Bt 6.0) @ $0.55 | $0.884 (88¢) | 1.0s (Instant) | Dried up in 4s | +$0.116 (+13.1%) |
| 164 | T+133s (T-167s) | 22:12:13 | 25.4 sh (Bt 5.0) @ $0.34 | 48.0 sh (Bt 8.0) @ $0.65 | $0.992 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.008 (+0.8%) |
| 165 | T+133s (T-167s) | 22:12:13 | 25.4 sh (Bt 5.0) @ $0.34 | 48.0 sh (Bt 8.0) @ $0.65 | $0.990 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.010 (+1.0%) |
| 166 | T+133s (T-167s) | 22:12:13 | 5.0 sh (Bt 5.0) @ $0.32 | 14.9 sh (Bt 14.9) @ $0.67 | $0.990 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.010 (+1.0%) |
| 167 | T+133s (T-167s) | 22:12:13 | 5.0 sh (Bt 5.0) @ $0.32 | 48.0 sh (Bt 8.0) @ $0.65 | $0.972 (97¢) | 0ms (Instant) | Dried up in 0ms | +$0.028 (+2.9%) |
| 168 | T+133s (T-167s) | 22:12:13 | 5.0 sh (Bt 5.0) @ $0.32 | 48.0 sh (Bt 8.0) @ $0.65 | $0.970 (97¢) | 0ms (Instant) | Dried up in 0ms | +$0.030 (+3.1%) |
| 169 | T+133s (T-167s) | 22:12:13 | 25.4 sh (Bt 20.4) @ $0.33 | 48.0 sh (Bt 8.0) @ $0.65 | $0.986 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.014 (+1.4%) |
| 170 | T+133s (T-167s) | 22:12:13 | 25.4 sh (Bt 20.4) @ $0.33 | 48.0 sh (Bt 8.0) @ $0.65 | $0.984 (98¢) | 0ms (Instant) | Dried up in 0ms | +$0.016 (+1.6%) |
| 171 | T+135s (T-165s) | 22:12:15 | 10.0 sh (Bt 5.0) @ $0.41 | 5.1 sh (Bt 5.1) @ $0.55 | $0.960 (96¢) | 1.0s (Instant) | Dried up in 1s | +$0.040 (+4.2%) |
| 172 | T+135s (T-165s) | 22:12:15 | 10.0 sh (Bt 5.0) @ $0.41 | 5.0 sh (Bt 5.0) @ $0.57 | $0.980 (98¢) | 1.0s (Instant) | Dried up in 1s | +$0.020 (+2.0%) |
| 173 | T+135s (T-165s) | 22:12:15 | 14.2 sh (Bt 4.6) @ $0.39 | 5.1 sh (Bt 5.1) @ $0.55 | $0.940 (94¢) | 1.0s (Instant) | Dried up in 1s | +$0.060 (+6.4%) |
| 174 | T+135s (T-165s) | 22:12:15 | 14.2 sh (Bt 4.6) @ $0.39 | 5.0 sh (Bt 5.0) @ $0.57 | $0.960 (96¢) | 1.0s (Instant) | Dried up in 1s | +$0.040 (+4.2%) |
| 175 | T+135s (T-165s) | 22:12:15 | 14.2 sh (Bt 4.6) @ $0.39 | 3.0 sh (Bt 3.0) @ $0.59 | $0.980 (98¢) | 1.0s (Instant) | Dried up in 1s | +$0.020 (+2.0%) |
| 176 | T+135s (T-165s) | 22:12:15 | 15.4 sh (Bt 10.4) @ $0.38 | 5.1 sh (Bt 5.1) @ $0.55 | $0.926 (93¢) | 1.0s (Instant) | Dried up in 1s | +$0.074 (+8.0%) |
| 177 | T+135s (T-165s) | 22:12:15 | 15.4 sh (Bt 10.4) @ $0.38 | 5.0 sh (Bt 5.0) @ $0.57 | $0.946 (95¢) | 1.0s (Instant) | Dried up in 1s | +$0.054 (+5.7%) |
| 178 | T+135s (T-165s) | 22:12:15 | 15.4 sh (Bt 10.4) @ $0.38 | 3.0 sh (Bt 3.0) @ $0.59 | $0.966 (97¢) | 1.0s (Instant) | Dried up in 1s | +$0.034 (+3.5%) |
| 179 | T+135s (T-165s) | 22:12:15 | 10.0 sh (Bt 5.0) @ $0.40 | 5.1 sh (Bt 5.1) @ $0.55 | $0.950 (95¢) | 1.0s (Instant) | Dried up in 1s | +$0.050 (+5.3%) |
| 180 | T+135s (T-165s) | 22:12:15 | 10.0 sh (Bt 5.0) @ $0.40 | 5.0 sh (Bt 5.0) @ $0.57 | $0.970 (97¢) | 1.0s (Instant) | Dried up in 1s | +$0.030 (+3.1%) |
| 181 | T+135s (T-165s) | 22:12:15 | 10.0 sh (Bt 5.0) @ $0.40 | 3.0 sh (Bt 3.0) @ $0.59 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 1s | +$0.010 (+1.0%) |
| 182 | T+136s (T-164s) | 22:12:16 | 5.0 sh (Bt 5.0) @ $0.44 | 5.1 sh (Bt 5.1) @ $0.55 | $0.990 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.010 (+1.0%) |
| 183 | T+136s (T-164s) | 22:12:16 | 5.0 sh (Bt 5.0) @ $0.42 | 5.1 sh (Bt 5.1) @ $0.55 | $0.970 (97¢) | 0ms (Instant) | Dried up in 0ms | +$0.030 (+3.1%) |
| 184 | T+136s (T-164s) | 22:12:16 | 5.0 sh (Bt 5.0) @ $0.42 | 5.0 sh (Bt 5.0) @ $0.57 | $0.990 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.010 (+1.0%) |
| 185 | T+138s (T-162s) | 22:12:18 | 14.8 sh (Bt 5.0) @ $0.50 | 4.3 sh (Bt 4.3) @ $0.47 | $0.970 (97¢) | 0ms (Instant) | Dried up in 9s | +$0.030 (+3.1%) |
| 186 | T+138s (T-162s) | 22:12:18 | 35.8 sh (Bt 6.0) @ $0.51 | 4.3 sh (Bt 4.3) @ $0.47 | $0.980 (98¢) | 1.0s (Instant) | Dried up in 9s | +$0.020 (+2.0%) |
| 187 | T+141s (T-159s) | 22:12:21 | 22.0 sh (Bt 8.0) @ $0.59 | 12.8 sh (Bt 12.8) @ $0.39 | $0.976 (98¢) | 1.0s (Instant) | Dried up in 15s | +$0.024 (+2.5%) |
| 188 | T+142s (T-158s) | 22:12:22 | 22.0 sh (Bt 6.0) @ $0.59 | 12.8 sh (Bt 12.8) @ $0.39 | $0.976 (98¢) | 0ms (Instant) | Dried up in 14s | +$0.024 (+2.5%) |
| 189 | T+142s (T-158s) | 22:12:22 | 35.8 sh (Bt 20.0) @ $0.51 | 12.8 sh (Bt 12.8) @ $0.39 | $0.896 (90¢) | 0ms (Instant) | Dried up in 14s | +$0.104 (+11.6%) |
| 190 | T+171s (T-129s) | 22:12:51 | 20.0 sh (Bt 20.0) @ $0.65 | 48.3 sh (Bt 20.0) @ $0.31 | $0.963 (96¢) | 0ms (Instant) | Dried up in 3s | +$0.037 (+3.8%) |
| 191 | T+171s (T-129s) | 22:12:51 | 20.0 sh (Bt 20.0) @ $0.65 | 20.0 sh (Bt 20.0) @ $0.33 | $0.982 (98¢) | 0ms (Instant) | Dried up in 0ms | +$0.018 (+1.8%) |
| 192 | T+171s (T-129s) | 22:12:51 | 20.0 sh (Bt 20.0) @ $0.65 | 56.3 sh (Bt 12.3) @ $0.30 | $0.956 (96¢) | 0ms (Instant) | Dried up in 3s | +$0.044 (+4.6%) |
| 193 | T+171s (T-129s) | 22:12:51 | 20.0 sh (Bt 20.0) @ $0.65 | 5.0 sh (Bt 5.0) @ $0.26 | $0.912 (91¢) | 0ms (Instant) | Dried up in 0ms | +$0.088 (+9.6%) |
| 194 | T+171s (T-129s) | 22:12:51 | 20.0 sh (Bt 20.0) @ $0.65 | 5.0 sh (Bt 5.0) @ $0.34 | $0.992 (99¢) | 1.0s (Instant) | Dried up in 1s | +$0.008 (+0.8%) |
| 195 | T+177s (T-123s) | 22:12:57 | 8.0 sh (Bt 8.0) @ $0.55 | 8.0 sh (Bt 8.0) @ $0.42 | $0.974 (97¢) | 1.0s (Instant) | Dried up in 1s | +$0.026 (+2.7%) |
| 196 | T+189s (T-111s) | 22:13:09 | 5.0 sh (Bt 5.0) @ $0.77 | 10.0 sh (Bt 10.0) @ $0.22 | $0.990 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.010 (+1.0%) |
| 197 | T+189s (T-111s) | 22:13:09 | 5.0 sh (Bt 5.0) @ $0.77 | 10.0 sh (Bt 10.0) @ $0.20 | $0.970 (97¢) | 0ms (Instant) | Dried up in 0ms | +$0.030 (+3.1%) |
| 198 | T+195s (T-105s) | 22:13:15 | 61.0 sh (Bt 19.6) @ $0.85 | 20.0 sh (Bt 20.0) @ $0.12 | $0.970 (97¢) | 1.0s (Instant) | Dried up in 1s | +$0.030 (+3.1%) |
| 199 | T+201s (T-099s) | 22:13:21 | 56.1 sh (Bt 21.4) @ $0.93 | 36.6 sh (Bt 36.6) @ $0.06 | $0.994 (99¢) | 1.0s (Instant) | Dried up in 18s | +$0.006 (+0.6%) |
| 200 | T+201s (T-099s) | 22:13:21 | 56.1 sh (Bt 34.7) @ $0.93 | 36.6 sh (Bt 36.6) @ $0.06 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 18s | +$0.010 (+1.0%) |
| 201 | T+234s (T-066s) | 22:13:54 | 27.4 sh (Bt 11.2) @ $0.89 | 23.0 sh (Bt 18.0) @ $0.07 | $0.960 (96¢) | 0ms (Instant) | Dried up in 13s | +$0.040 (+4.2%) |
| 202 | T+234s (T-066s) | 22:13:54 | 27.4 sh (Bt 11.2) @ $0.89 | 23.0 sh (Bt 5.0) @ $0.08 | $0.970 (97¢) | 0ms (Instant) | Dried up in 13s | +$0.030 (+3.1%) |
| 203 | T+234s (T-066s) | 22:13:54 | 27.4 sh (Bt 11.2) @ $0.89 | 5.8 sh (Bt 5.8) @ $0.04 | $0.930 (93¢) | 0ms (Instant) | Dried up in 13s | +$0.070 (+7.5%) |
| 204 | T+234s (T-066s) | 22:13:54 | 5.1 sh (Bt 5.1) @ $0.85 | 27.9 sh (Bt 8.8) @ $0.12 | $0.970 (97¢) | 1.0s (Instant) | Dried up in 18s | +$0.030 (+3.1%) |
| 205 | T+234s (T-066s) | 22:13:54 | 5.1 sh (Bt 5.1) @ $0.85 | 23.0 sh (Bt 18.0) @ $0.07 | $0.920 (92¢) | 1.0s (Instant) | Dried up in 18s | +$0.080 (+8.7%) |
| 206 | T+234s (T-066s) | 22:13:54 | 22.4 sh (Bt 10.0) @ $0.88 | 23.0 sh (Bt 18.0) @ $0.07 | $0.950 (95¢) | 1.0s (Instant) | Dried up in 12s | +$0.050 (+5.3%) |
| 207 | T+234s (T-066s) | 22:13:54 | 5.1 sh (Bt 5.1) @ $0.85 | 23.0 sh (Bt 5.0) @ $0.08 | $0.930 (93¢) | 1.0s (Instant) | Dried up in 18s | +$0.070 (+7.5%) |
| 208 | T+234s (T-066s) | 22:13:54 | 22.4 sh (Bt 10.0) @ $0.88 | 23.0 sh (Bt 5.0) @ $0.08 | $0.960 (96¢) | 1.0s (Instant) | Dried up in 12s | +$0.040 (+4.2%) |
| 209 | T+234s (T-066s) | 22:13:54 | 33.0 sh (Bt 33.0) @ $0.95 | 5.8 sh (Bt 5.8) @ $0.04 | $0.990 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.010 (+1.0%) |
| 210 | T+234s (T-066s) | 22:13:54 | 5.1 sh (Bt 5.1) @ $0.85 | 5.8 sh (Bt 5.8) @ $0.04 | $0.890 (89¢) | 1.0s (Instant) | Dried up in 18s | +$0.110 (+12.4%) |
| 211 | T+234s (T-066s) | 22:13:54 | 22.4 sh (Bt 10.0) @ $0.88 | 5.8 sh (Bt 5.8) @ $0.04 | $0.920 (92¢) | 1.0s (Instant) | Dried up in 12s | +$0.080 (+8.7%) |
| 212 | T+235s (T-065s) | 22:13:55 | 5.1 sh (Bt 5.1) @ $0.85 | 27.9 sh (Bt 19.2) @ $0.12 | $0.970 (97¢) | 0ms (Instant) | Dried up in 17s | +$0.030 (+3.1%) |
| 213 | T+243s (T-057s) | 22:14:03 | 12.2 sh (Bt 10.0) @ $0.79 | 47.5 sh (Bt 21.0) @ $0.20 | $0.990 (99¢) | 0ms (Instant) | Dried up in 1s | +$0.010 (+1.0%) |
| 214 | T+250s (T-050s) | 22:14:10 | 2.2 sh (Bt 2.2) @ $0.82 | 21.9 sh (Bt 21.9) @ $0.10 | $0.920 (92¢) | 0ms (Instant) | Dried up in 0ms | +$0.080 (+8.7%) |
| 215 | T+255s (T-045s) | 22:14:15 | 11.0 sh (Bt 11.0) @ $0.43 | 5.0 sh (Bt 5.0) @ $0.57 | $0.995 (100¢) | 0ms (Instant) | Dried up in 0ms | +$0.005 (+0.5%) |
| 216 | T+255s (T-045s) | 22:14:15 | 5.0 sh (Bt 5.0) @ $0.41 | 5.0 sh (Bt 5.0) @ $0.57 | $0.980 (98¢) | 0ms (Instant) | Dried up in 0ms | +$0.020 (+2.0%) |
| 217 | T+258s (T-042s) | 22:14:18 | 5.0 sh (Bt 5.0) @ $0.27 | 27.9 sh (Bt 12.0) @ $0.70 | $0.970 (97¢) | 0ms (Instant) | Dried up in 1s | +$0.030 (+3.1%) |
| 218 | T+258s (T-042s) | 22:14:18 | 1.8 sh (Bt 1.8) @ $0.25 | 27.9 sh (Bt 12.0) @ $0.70 | $0.950 (95¢) | 0ms (Instant) | Dried up in 1s | +$0.050 (+5.3%) |
| 219 | T+258s (T-042s) | 22:14:18 | 5.0 sh (Bt 5.0) @ $0.26 | 27.9 sh (Bt 12.0) @ $0.70 | $0.960 (96¢) | 0ms (Instant) | Dried up in 1s | +$0.040 (+4.2%) |
| 220 | T+258s (T-042s) | 22:14:18 | 1.8 sh (Bt 1.8) @ $0.25 | 15.0 sh (Bt 15.0) @ $0.73 | $0.980 (98¢) | 0ms (Instant) | Dried up in 0ms | +$0.020 (+2.0%) |
| 221 | T+258s (T-042s) | 22:14:18 | 5.0 sh (Bt 5.0) @ $0.26 | 15.0 sh (Bt 15.0) @ $0.73 | $0.990 (99¢) | 0ms (Instant) | Dried up in 0ms | +$0.010 (+1.0%) |
| 222 | T+258s (T-042s) | 22:14:18 | 5.0 sh (Bt 5.0) @ $0.27 | 25.5 sh (Bt 2.9) @ $0.71 | $0.980 (98¢) | 1.0s (Instant) | Dried up in 3s | +$0.020 (+2.0%) |
| 223 | T+258s (T-042s) | 22:14:18 | 5.0 sh (Bt 5.0) @ $0.27 | 156.7 sh (Bt 156.7) @ $0.65 | $0.921 (92¢) | 1.0s (Instant) | Dried up in 1s | +$0.079 (+8.6%) |
| 224 | T+258s (T-042s) | 22:14:18 | 5.0 sh (Bt 5.0) @ $0.27 | 14.5 sh (Bt 9.7) @ $0.62 | $0.890 (89¢) | 1.0s (Instant) | Dried up in 1s | +$0.110 (+12.4%) |
| 225 | T+258s (T-042s) | 22:14:18 | 1.8 sh (Bt 1.8) @ $0.25 | 25.5 sh (Bt 2.9) @ $0.71 | $0.960 (96¢) | 1.0s (Instant) | Dried up in 3s | +$0.040 (+4.2%) |
| 226 | T+258s (T-042s) | 22:14:18 | 1.8 sh (Bt 1.8) @ $0.25 | 156.7 sh (Bt 156.7) @ $0.65 | $0.901 (90¢) | 1.0s (Instant) | Dried up in 1s | +$0.099 (+11.0%) |
| 227 | T+258s (T-042s) | 22:14:18 | 1.8 sh (Bt 1.8) @ $0.25 | 14.5 sh (Bt 9.7) @ $0.62 | $0.870 (87¢) | 1.0s (Instant) | Dried up in 1s | +$0.130 (+14.9%) |
| 228 | T+258s (T-042s) | 22:14:18 | 5.0 sh (Bt 5.0) @ $0.26 | 25.5 sh (Bt 2.9) @ $0.71 | $0.970 (97¢) | 1.0s (Instant) | Dried up in 3s | +$0.030 (+3.1%) |
| 229 | T+258s (T-042s) | 22:14:18 | 5.0 sh (Bt 5.0) @ $0.26 | 156.7 sh (Bt 156.7) @ $0.65 | $0.911 (91¢) | 1.0s (Instant) | Dried up in 1s | +$0.089 (+9.8%) |
| 230 | T+258s (T-042s) | 22:14:18 | 5.0 sh (Bt 5.0) @ $0.26 | 14.5 sh (Bt 9.7) @ $0.62 | $0.880 (88¢) | 1.0s (Instant) | Dried up in 1s | +$0.120 (+13.6%) |
| 231 | T+261s (T-039s) | 22:14:21 | 14.7 sh (Bt 5.1) @ $0.13 | 5.7 sh (Bt 2.8) @ $0.72 | $0.850 (85¢) | 1.0s (Instant) | Dried up in 4s | +$0.150 (+17.6%) |
| 232 | T+262s (T-038s) | 22:14:22 | 14.7 sh (Bt 5.1) @ $0.13 | 15.0 sh (Bt 10.0) @ $0.80 | $0.930 (93¢) | 0ms (Instant) | Dried up in 3s | +$0.070 (+7.5%) |
