| # | Elapsed (Countdown) | Time (UTC) | UP Shares on Book (Bought) & Price | DOWN Shares on Book (Bought) & Price | Total Cost | Execution Gap | How Soon It Dried Up | Guaranteed Profit |
| 27 | T+075s (T-225s) | 22:06:15 | 22.0 sh (Bt 22.0) @ $0.22 | 44.3 sh (Bt 11.1) @ $0.75 | $0.970 (97¢) | 1.0s (Instant) | Dried up in 9s | +$0.030 (+3.1%) |
| 28 | T+075s (T-225s) | 22:06:15 | 5.1 sh (Bt 5.1) @ $0.15 | 9.0 sh (Bt 9.0) @ $0.83 | $0.980 (98¢) | 0ms (Instant) | Dried up in 6s | +$0.020 (+2.0%) |
| 29 | T+075s (T-225s) | 22:06:15 | 5.1 sh (Bt 5.1) @ $0.15 | 21.8 sh (Bt 9.0) @ $0.82 | $0.970 (97¢) | 0ms (Instant) | Dried up in 6s | +$0.030 (+3.1%) |
| 30 | T+075s (T-225s) | 22:06:15 | 21.5 sh (Bt 9.0) @ $0.20 | 44.3 sh (Bt 26.3) @ $0.76 | $0.960 (96¢) | 1.0s (Instant) | Dried up in 9s | +$0.040 (+4.2%) |
| 31 | T+075s (T-225s) | 22:06:15 | 5.1 sh (Bt 5.1) @ $0.15 | 44.3 sh (Bt 26.3) @ $0.76 | $0.910 (91¢) | 1.0s (Instant) | Dried up in 9s | +$0.090 (+9.9%) |
| 32 | T+075s (T-225s) | 22:06:15 | 5.1 sh (Bt 5.1) @ $0.15 | 208.7 sh (Bt 164.7) @ $0.80 | $0.953 (95¢) | 1.0s (Instant) | Dried up in 6s | +$0.047 (+4.9%) |
| 33 | T+076s (T-224s) | 22:06:16 | 22.0 sh (Bt 22.0) @ $0.22 | 44.3 sh (Bt 26.3) @ $0.76 | $0.980 (98¢) | 0ms (Instant) | Dried up in 20s | +$0.020 (+2.0%) |
| 34 | T+078s (T-222s) | 22:06:18 | 60.0 sh (Bt 9.0) @ $0.09 | 68.0 sh (Bt 5.0) @ $0.89 | $0.980 (98¢) | 0ms (Instant) | Dried up in 1s | +$0.020 (+2.0%) |
| 35 | T+078s (T-222s) | 22:06:18 | 60.0 sh (Bt 9.0) @ $0.09 | 52.5 sh (Bt 5.1) @ $0.90 | $0.990 (99¢) | 0ms (Instant) | Dried up in 3s | +$0.010 (+1.0%) |
| 36 | T+078s (T-222s) | 22:06:18 | 60.0 sh (Bt 9.0) @ $0.09 | 92.1 sh (Bt 6.5) @ $0.89 | $0.982 (98¢) | 0ms (Instant) | Dried up in 1s | +$0.018 (+1.8%) |
| 37 | T+078s (T-222s) | 22:06:18 | 60.0 sh (Bt 9.0) @ $0.09 | 192.7 sh (Bt 10.0) @ $0.80 | $0.890 (89¢) | 0ms (Instant) | Dried up in 1s | +$0.110 (+12.4%) |
| 38 | T+078s (T-222s) | 22:06:18 | 58.7 sh (Bt 14.6) @ $0.14 | 192.7 sh (Bt 10.0) @ $0.80 | $0.940 (94¢) | 1.0s (Instant) | Dried up in 1s | +$0.060 (+6.4%) |
| 39 | T+078s (T-222s) | 22:06:18 | 80.7 sh (Bt 0.1) @ $0.13 | 192.7 sh (Bt 10.0) @ $0.80 | $0.930 (93¢) | 1.0s (Instant) | Dried up in 1s | +$0.070 (+7.5%) |
| 40 | T+078s (T-222s) | 22:06:18 | 110.0 sh (Bt 22.0) @ $0.12 | 192.7 sh (Bt 10.0) @ $0.80 | $0.920 (92¢) | 1.0s (Instant) | Dried up in 1s | +$0.080 (+8.7%) |
| 41 | T+078s (T-222s) | 22:06:18 | 110.1 sh (Bt 22.0) @ $0.12 | 192.7 sh (Bt 10.0) @ $0.80 | $0.923 (92¢) | 1.0s (Instant) | Dried up in 1s | +$0.077 (+8.3%) |
| 42 | T+078s (T-222s) | 22:06:18 | 110.0 sh (Bt 22.0) @ $0.11 | 192.7 sh (Bt 10.0) @ $0.80 | $0.910 (91¢) | 1.0s (Instant) | Dried up in 1s | +$0.090 (+9.9%) |
| 43 | T+078s (T-222s) | 22:06:18 | 132.0 sh (Bt 22.0) @ $0.12 | 192.7 sh (Bt 10.0) @ $0.80 | $0.917 (92¢) | 1.0s (Instant) | Dried up in 1s | +$0.083 (+9.1%) |
| 44 | T+078s (T-222s) | 22:06:18 | 88.0 sh (Bt 22.0) @ $0.11 | 192.7 sh (Bt 10.0) @ $0.80 | $0.908 (91¢) | 1.0s (Instant) | Dried up in 1s | +$0.092 (+10.1%) |
| 45 | T+078s (T-222s) | 22:06:18 | 60.0 sh (Bt 9.0) @ $0.09 | 21.8 sh (Bt 5.5) @ $0.82 | $0.910 (91¢) | 0ms (Instant) | Dried up in 1s | +$0.090 (+9.9%) |
| 46 | T+078s (T-222s) | 22:06:18 | 58.7 sh (Bt 14.6) @ $0.14 | 21.8 sh (Bt 5.5) @ $0.82 | $0.960 (96¢) | 1.0s (Instant) | Dried up in 1s | +$0.040 (+4.2%) |
| 47 | T+078s (T-222s) | 22:06:18 | 80.7 sh (Bt 0.1) @ $0.13 | 21.8 sh (Bt 5.5) @ $0.82 | $0.950 (95¢) | 1.0s (Instant) | Dried up in 1s | +$0.050 (+5.3%) |
| 48 | T+078s (T-222s) | 22:06:18 | 110.0 sh (Bt 22.0) @ $0.12 | 21.8 sh (Bt 5.5) @ $0.82 | $0.940 (94¢) | 1.0s (Instant) | Dried up in 1s | +$0.060 (+6.4%) |
| 49 | T+078s (T-222s) | 22:06:18 | 110.1 sh (Bt 22.0) @ $0.12 | 21.8 sh (Bt 5.5) @ $0.82 | $0.943 (94¢) | 1.0s (Instant) | Dried up in 1s | +$0.057 (+6.0%) |
| 50 | T+078s (T-222s) | 22:06:18 | 110.0 sh (Bt 22.0) @ $0.11 | 21.8 sh (Bt 5.5) @ $0.82 | $0.930 (93¢) | 1.0s (Instant) | Dried up in 1s | +$0.070 (+7.5%) |
| 51 | T+078s (T-222s) | 22:06:18 | 132.0 sh (Bt 22.0) @ $0.12 | 21.8 sh (Bt 5.5) @ $0.82 | $0.937 (94¢) | 1.0s (Instant) | Dried up in 1s | +$0.063 (+6.7%) |
| 52 | T+078s (T-222s) | 22:06:18 | 88.0 sh (Bt 22.0) @ $0.11 | 21.8 sh (Bt 5.5) @ $0.82 | $0.928 (93¢) | 1.0s (Instant) | Dried up in 1s | +$0.072 (+7.8%) |
| 53 | T+078s (T-222s) | 22:06:18 | 60.0 sh (Bt 9.0) @ $0.09 | 398.9 sh (Bt 57.1) @ $0.85 | $0.937 (94¢) | 1.0s (Instant) | Dried up in 6s | +$0.063 (+6.7%) |
| 54 | T+078s (T-222s) | 22:06:18 | 60.0 sh (Bt 9.0) @ $0.09 | 68.0 sh (Bt 52.1) @ $0.89 | $0.978 (98¢) | 1.0s (Instant) | Dried up in 1s | +$0.022 (+2.2%) |
